"id" "sex" "sire" "dam" "generation"
"659" 574621 "M" 562791 563222 5
"660" 576041 "M" 563221 563232 5
"661" 580981 "M" 563231 569862 5
"662" 580971 "M" 569861 563252 5
"663" 574611 "M" 563251 563262 5
"664" 574601 "M" 563261 563272 5
"665" 581011 "M" 563271 569912 5
"666" 578111 "M" 563291 563302 5
"667" 579171 "M" 563301 563312 5
"668" 579161 "M" 563311 563322 5
"669" 574631 "M" 563321 563332 5
"670" 576351 "M" 563331 565242 5
"671" 586881 "M" 565241 572152 5
"672" 586871 "M" 572151 565262 5
"673" 576371 "M" 565261 565272 5
"674" 576361 "M" 565271 565282 5
"675" 576051 "M" 565281 565292 5
"676" 576061 "M" 565291 565302 5
"677" 576071 "M" 565301 565312 5
"678" 579211 "M" 565311 565322 5
"679" 579201 "M" 565321 565332 5
"680" 579191 "M" 565331 567332 5
"681" 585271 "M" 580461 572562 5
"682" 585272 "F" 580461 572562 5
"683" 624632 "F" 565281 565292 5
"684" 623502 "F" 579181 602072 6
"685" 623512 "F" 577491 579102 6
"686" 623522 "F" 579101 579092 6
"687" 623532 "F" 579091 578072 6
"688" 623542 "F" 578071 578062 6
"689" 623552 "F" 578061 579132 6
"690" 623562 "F" 579131 579122 6
"691" 623572 "F" 579121 578092 6
"692" 623582 "F" 578091 578102 6
"693" 623592 "F" 578101 599622 6
"694" 623602 "F" 599621 577482 6
"695" 623612 "F" 577481 572572 6
"696" 623832 "F" 572571 599612 6
"697" 623842 "F" 599611 579152 6
"698" 623852 "F" 602081 579142 6
"699" 623862 "F" 579141 580412 6
"700" 623872 "F" 580411 580962 6
"701" 623882 "F" 580961 580952 6
"702" 623892 "F" 580951 572412 6
"703" 623902 "F" 572411 572422 6
"704" 628222 "F" 572411 572422 6
"705" 623912 "F" 572421 585272 6
"706" 628272 "F" 572421 585272 6
"707" 623922 "F" 585271 579112 6
"708" 623932 "F" 579111 574622 6
"709" 623942 "F" 574621 576042 6
"710" 623952 "F" 576041 580982 6
"711" 623962 "F" 580981 580972 6
"712" 623972 "F" 580971 574612 6
"713" 623982 "F" 574611 574602 6
"714" 625502 "F" 574601 581012 6
"715" 624002 "F" 581011 622982 6
"716" 624012 "F" 622981 578112 6
"717" 624022 "F" 578111 579172 6
"718" 625742 "F" 579171 579162 6
