Batch,Study,Parent_Pair,Cohort,Dam_ID,Sire_ID,Animal_ID,Access_ID,Sex,Diet,DOB,Date_of_Wean,Diet_Start,Diet_Start_Week,Litter_Number,Litter_Size,Coat_Color,Ear_Punch,Rack,Total_AUC,FastGluc,FastIns,HarvWeight,RetroFat_norm,EpiFat_norm,OmentalFat_norm,ClosedJunc,OpenJunc,REST_EPISODE_COUNT_5,MOVEMENT_EPISODE_COUNT_5,VERTICAL_EPISODE_COUNT_5,SWIM,CLIMB,FLOAT
Thesis,Thesis,702,13T,741892,741401,AWD442,749143,F,HFD,43738,43760,43784,SIX,4,12,ALBINO,LM,C-E3,12967.5,74,0.4235,227,0.704845815,1.497797357,0.528634361,241.98,55.41,12,13,36,37,1,22
Thesis,Thesis,618,13T,737062,736681,AWD450,749171,F,HFD,43739,43760,43784,SIX,8,8,BLACK,RT,C-E3,13447.5,76,,250,0.96,1.4,0.6,205.1,94.64,11,12,18,55,3,1
Thesis,Thesis,643,14T,737252,737831,AWD458,749423,F,HFD,43743,43766,43791,SIX,4,8,BRN HOOD,LT,C-C7,,,,231,0.476190476,0.909090909,0.432900433,239.82,58.08,12,13,25,50,0,10
Thesis,Thesis,662,14T,737442,737342,AWD466,749473,F,HFD,43743,43766,43791,SIX,8,9,BLACK,LT,C-C7,,,,215,0.930232558,1.627906977,0.604651163,207.8,86.98,17,17,19,55,0,5
Thesis,Thesis,613,14T,736742,736881,AWD470,749513,F,HFD,43745,43766,43791,SIX,8,12,BROWN,LT,C-D7,,,0.5605,251,1.952191235,3.187250996,1.394422311,182.89,115.79,17,18,20,29,0,31
Thesis,Thesis,616,14T,736712,737421,AWD478,749503,F,HFD,43746,43767,43791,SIX,8,10,ALBINO,RT,C-D7,,,0.4055,286,2.587412587,4.265734266,1.538461538,182.93,112.8,4,5,30,33,0,27
Thesis,Thesis,661,14T,737272,736761,AWD462,749405,F,HFD,43743,43766,43791,SIX,7,12,BRN HOOD,LB,C-E7,,,0.634,209,0.669856459,1.196172249,0.38277512,237.65,56.37,4,5,35,39,1,20
Thesis,Thesis,607,14T,736662,737191,AWD474,749483,F,HFD,43746,43767,43791,SIX,8,11,BROWN,RC,C-E7,,,0.295,236,1.737288136,3.559322034,1.525423729,233.5,62.47,8,9,36,43,3,14
Thesis,Thesis,707,15T,741402,742041,AWD482,751792,F,HFD,43793,43815,,SIX,5,10,BROWN,LT,C-F3,,,,,,,,232.9,66.28,7,8,24,,,
Thesis,Thesis,701,15T,741552,742071,AWD490,751785,F,HFD,43794,43815,,SIX,5,5,BLK HOOD,RM,C-F3,,,,,,,,137.41,157.71,8,9,26,,,
Thesis,Thesis,710,15T,741952,742281,AWD494,751943,F,HFD,43795,43816,,SIX,6,13,BROWN,LM,C-G3,,,,,,,,199.34,98.12,12,13,23,,,
Thesis,Thesis,0751B,15T,741872,741341,AWD502,751953,F,HFD,43795,43816,,SIX,6,5,BLACK,RB,C-G3,,,,,,,,181.47,116.7,7,8,29,,,
Thesis,Thesis,741,15T,741332,741801,AWD486,751774,F,HFD,43793,43815,,SIX,5,7,BRN HOOD,LT,C-H3,,,,,,,,219.12,79.79,4,5,29,,,
Thesis,Thesis,730,15T,743392,741661,AWD498,751933,F,HFD,43795,43816,,SIX,6,10,BLACK,RT,C-H3,,,,,,,,238.43,57.37,10,11,28,,,
Thesis,Thesis,717,16T,741352,741171,AWD506,752123,F,HFD,43800,43822,,SIX,7,11,BLACK,LT,C-F7,,,,,,,,182.27,112.77,11,12,33,,,
Thesis,Thesis,732,16T,741232,741151,AWD514,752143,F,HFD,43801,43822,,SIX,7,6,ALBINO,RM,C-F7,,,,,,,,255.66,42.8,15,16,21,,,
Thesis,Thesis,761,16T,741772,741251,AWD518,752163,F,HFD,43801,43822,,SIX,6,10,BLACK,LMRM,C-G7,,,,,,,,175.06,119.55,7,8,27,,,
Thesis,Thesis,764,16T,741122,741351,AWD526,752433,F,HFD,43802,43822,,SIX,7,10,BRN HOOD,LB,C-G7,,,,,,,,235.59,60.91,8,9,32,,,
Thesis,Thesis,756,16T,741692,741971,AWD510,752133,F,HFD,43800,43822,,SIX,3,10,BROWN,RB,C-H7,,,,,,,,216.57,81.32,12,13,33,,,
Thesis,Thesis,704,16T,742022,741271,AWD522,752343,F,HFD,43802,43822,,SIX,6,12,BLACK,LM,C-H7,,,,,,,,224.83,72.71,6,7,25,,,
Thesis,Thesis,338,1T,726192,726211,AWD195,734527,F,LFD,43360,43380,43406,SIX,9,8,BROWN HOOD,LM,C-F4,11932.5,73,0.645,246,1.869918699,0.487804878,0.731707317,191.99,101.28,8,9,27,51,4,5
Thesis,Thesis,448,1T,722921,733112,AWD218,734636,F,LFD,43339,43384,43406,SIX,2,12,BLACK HOOD,LC,C-F4,12562.5,75,,225,0.977777778,0.533333333,0.622222222,170.59,129.1,6,7,32,50,2,8
Thesis,Thesis,343,1T,726212,725383,AWD203,734577,F,LFD,43360,43381,43406,SIX,7,9,BROWN,LT,C-G4,12682.5,86,,247,1.619433198,1.052631579,0.647773279,193.37,106.24,19,20,26,39,9,12
Thesis,Thesis,405,1T,728711,729521,AWD211,734587,F,LFD,43360,43381,43406,SIX,3,13,BLACK HOOD,LCRB,C-G4,12420,81,,238,2.18487395,1.428571429,1.176470588,144.03,154.97,4,5,38,24,11,25
Thesis,Thesis,405,1T,728711,729521,AWD210,734586,F,LFD,43360,43381,43406,SIX,3,13,BLACK HOOD,RT,C-H4,10515,66,,214,1.308411215,1.028037383,0.747663551,75.5,216.33,10,11,24,25,13,22
Thesis,Thesis,448,1T,722921,733112,AWD217,734635,F,LFD,43339,43384,43406,SIX,2,12,BROWN HOOD,RT,C-H4,13627.5,81,,226,2.654867257,1.150442478,1.061946903,158.32,141.4,10,11,21,40,6,14
Thesis,Thesis,408,2T,727772,728081,AWD226,734674,F,LFD,43366,43388,43413,SIX,4,13,BLACK,LT,C-F8,11317.5,71,,232,1.034482759,0.862068966,0.517241379,220.53,77.1,5,6,34,43,4,13
Thesis,Thesis,447,2T,733121,733091,AWD234,734734,F,LFD,43367,43388,43413,SIX,2,15,BROWN HOOD,LM,C-F8,10957.5,67,,190,1.368421053,1.263157895,0.736842105,141.94,156.53,4,5,31,42,3,15
