Study,Parent Pair,Cohort,Access ID,Sex,Diet,Diet Start Week,Litter Size,HarvWeight,RetroFat_norm,EpiFat_norm,OmentalFat_norm,FastIns,FastGluc,Total AUC,SWIM,CLIMB,FLOAT,REST EPISODE COUNT_5,MOVEMENT EPISODE COUNT_5,VERTICAL EPISODE COUNT_5
Thesis,330,2T,734724,M,LFD,SIX,8,303,1.98019802,1.287128713,1.056105611,0.731,72,12607.5,45,3,12,5,6,34
Thesis,447,2T,734731,M,HFD,SIX,15,314,1.560509554,1.27388535,0.923566879,,90,12720,49,3,8,6,7,25
Thesis,447,2T,734732,M,LFD,SIX,15,298,1.040268456,0.939597315,0.604026846,,76,13560,45,9,6,9,10,17
Thesis,335,2T,734761,M,LFD,SIX,7,391,1.508951407,1.381074169,0.716112532,0.92,67,13035,57,1,2,13,14,34
Thesis,401,2T,734781,M,HFD,SIX,11,400,2.4,2.225,1.35,1.631,94,15262.5,54,3,3,14,15,28
Thesis,401,2T,734782,M,LFD,SIX,11,428,1.985981308,1.168224299,0.771028037,1.137,80,16230,46,11,3,6,6,25
Thesis,465,3T,736239,M,HFD,SIX,10,408,4.362745098,2.598039216,1.81372549,0.562,80,12555,50,3,7,11,11,27
Thesis,431,3T,736257,M,HFD,SIX,13,458,4.148471616,3.602620087,2.336244541,0.521,77,13957.5,54,0,6,21,22,15
Thesis,431,3T,736258,M,LFD,SIX,13,372,2.580645161,2.365591398,1.586021505,1.132,76,12780,52,5,3,14,14,25
Thesis,421,3T,736294,M,HFD,SIX,8,439,2.232346241,1.958997722,1.047835991,0.455,86,12000,32,4,24,4,5,32
Thesis,421,3T,736295,M,LFD,SIX,8,466,2.811158798,2.446351931,1.673819742,1.538,81,12187.5,58,0,2,10,11,32
Thesis,416,3T,736317,M,HFD,SIX,11,375,2.88,2.48,1.653333333,0.912,71,9405,55,2,3,8,9,30
Thesis,416,3T,736318,M,LFD,SIX,11,371,1.994609164,1.886792453,1.482479784,,73,9390,43,0,17,10,11,29
Thesis,443,3T,736337,M,HFD,SIX,11,383,1.82767624,1.775456919,1.566579634,0.876,71,13672.5,49,0,11,4,5,35
Thesis,443,3T,736338,M,LFD,SIX,11,344,0.959302326,0.930232558,0.697674419,1.279,72,12270,52,1,7,9,9,26
Thesis,424,3T,736357,M,LFD,SIX,9,383,1.644908616,2.036553525,1.018276762,0.86,72,10822.5,54,3,3,20,21,19
Thesis,463,4T,736391,M,HFD,SIX,11,459,3.660130719,2.461873638,1.764705882,0.159,83,12765,44,0,16,9,10,23
Thesis,463,4T,736392,M,LFD,SIX,11,378,2.645502646,1.26984127,1.111111111,,108,13425,55,2,3,12,13,19
Thesis,402,4T,736421,M,HFD,SIX,5,494,4.696356275,3.906882591,3.481781377,1.137,76,18877.5,60,0,0,4,5,31
Thesis,402,4T,736422,M,LFD,SIX,5,433,2.909930716,3.002309469,2.147806005,0.047,82,10620,27,2,31,15,16,23
