Study,Parent_Pair,Cohort,Access_ID,Sex,Diet,Diet_Start_Week,Litter_Size,Total_AUC,HarvWeight,RetroFat_norm,FastGluc,FastIns,SWIM,CLIMB,FLOAT,REST_EPISODE_COUNT_5,MOVEMENT_EPISODE_COUNT_5,VERTICAL_EPISODE_COUNT_5,z
Thesis,624,12T,746013,F,HFD,FOUR,8,9.397732385583243,5.3612921657094255,NA,4.276666119016055,NA,3136,1.3862943611198906,1,2.995732273553991,3.044522437723423,8,1
Thesis,614,12T,746003,F,HFD,FOUR,9,9.339480888799274,5.272999558563747,NA,4.330733340286331,0.6557438524302001,3025,1.6094379124341003,1,1.791759469228055,1.9459101490553132,33,1
Thesis,638,12T,746023,F,HFD,FOUR,14,9.617370920809053,5.537334267018537,NA,4.343805421853684,NA,2025,1.6094379124341003,3.3166247903554,1.6094379124341003,1.791759469228055,38,1
Thesis,605,13T,749093,F,HFD,SIX,8,9.448648359810164,5.318119993844216,1.1213405396670142,4.290459441148391,0.6445928947793328,2025,2.3978952727983707,2.23606797749979,2.302585092994046,2.3978952727983707,20,1
Thesis,737,13T,749251,F,HFD,SIX,14,9.421087402953841,5.488937726156687,0.691070336411364,4.442651256490317,0.7123903424387503,2401,1.9459101490553132,2.23606797749979,2.4849066497880004,2.5649493574615367,31,1
Thesis,612,13T,749213,F,HFD,SIX,7,9.428350771178645,5.351858133476067,0.716677678156186,4.30406509320417,NA,2116,1.0986122886681098,3.4641016151377544,1.3862943611198906,1.6094379124341003,31,1
Thesis,656,13T,749163,F,HFD,SIX,8,9.561419689557756,5.472270673671475,0.9728863994020956,4.30406509320417,1.0660675400742676,1296,1.791759469228055,4.358898943540674,3.1354942159291497,3.1354942159291497,28,1
Thesis,702,13T,749143,F,HFD,SIX,12,9.470278619118869,5.429345628954441,0.5334746755612991,4.31748811353631,0.6507687761409577,1369,0.6931471805599453,4.69041575982343,2.5649493574615367,2.6390573296152584,36,1
Thesis,618,13T,749171,F,HFD,SIX,8,9.506622854647134,5.5254529391317835,0.6729444732424258,4.343805421853684,NA,3025,1.3862943611198906,1,2.4849066497880004,2.5649493574615367,18,1
Thesis,643,14T,749423,F,HFD,SIX,8,NA,5.44673737166631,0.389464766632691,NA,NA,2500,0,3.1622776601683795,2.5649493574615367,2.6390573296152584,25,1
Thesis,662,14T,749473,F,HFD,SIX,9,NA,5.375278407684165,0.6576404920307464,NA,NA,3025,0,2.23606797749979,2.8903717578961645,2.8903717578961645,19,1
Thesis,613,14T,749513,F,HFD,SIX,12,NA,5.529429087511423,1.0825476861440602,NA,0.7486654793697917,841,0,5.5677643628300215,2.8903717578961645,2.9444389791664403,20,1
Thesis,616,14T,749503,F,HFD,SIX,10,NA,5.659482215759621,1.2774312147958526,NA,0.6367888189973188,1089,0,5.196152422706632,1.6094379124341003,1.791759469228055,30,1
Thesis,661,14T,749405,F,HFD,SIX,12,NA,5.3471075307174685,0.5127376700399084,NA,0.7962411694957753,1521,0.6931471805599453,4.47213595499958,1.6094379124341003,1.791759469228055,35,1
Thesis,607,14T,749483,F,HFD,SIX,11,NA,5.4680601411351315,1.0069676989055987,NA,0.5431390245600107,1849,1.3862943611198906,3.7416573867739413,2.1972245773362196,2.302585092994046,36,1
Thesis,707,15T,751792,F,HFD,SIX,10,NA,NA,NA,NA,NA,NA,NA,NA,2.0794415416798357,2.1972245773362196,24,1
Thesis,701,15T,751785,F,HFD,SIX,5,NA,NA,NA,NA,NA,NA,NA,NA,2.1972245773362196,2.302585092994046,26,1
Thesis,710,15T,751943,F,HFD,SIX,13,NA,NA,NA,NA,NA,NA,NA,NA,2.5649493574615367,2.6390573296152584,23,1
Thesis,0751B,15T,751953,F,HFD,SIX,5,NA,NA,NA,NA,NA,NA,NA,NA,2.0794415416798357,2.1972245773362196,29,1
Thesis,741,15T,751774,F,HFD,SIX,7,NA,NA,NA,NA,NA,NA,NA,NA,1.6094379124341003,1.791759469228055,29,1
Thesis,730,15T,751933,F,HFD,SIX,10,NA,NA,NA,NA,NA,NA,NA,NA,2.3978952727983707,2.4849066497880004,28,1
Thesis,717,16T,752123,F,HFD,SIX,11,NA,NA,NA,NA,NA,NA,NA,NA,2.4849066497880004,2.5649493574615367,33,1
Thesis,732,16T,752143,F,HFD,SIX,6,NA,NA,NA,NA,NA,NA,NA,NA,2.772588722239781,2.833213344056216,21,1
Thesis,761,16T,752163,F,HFD,SIX,10,NA,NA,NA,NA,NA,NA,NA,NA,2.0794415416798357,2.1972245773362196,27,1
Thesis,764,16T,752433,F,HFD,SIX,10,NA,NA,NA,NA,NA,NA,NA,NA,2.1972245773362196,2.302585092994046,32,1
Thesis,756,16T,752133,F,HFD,SIX,10,NA,NA,NA,NA,NA,NA,NA,NA,2.5649493574615367,2.6390573296152584,33,1
Thesis,704,16T,752343,F,HFD,SIX,12,NA,NA,NA,NA,NA,NA,NA,NA,1.9459101490553132,2.0794415416798357,25,1
Thesis,338,1T,734527,F,LFD,SIX,8,9.387104850103599,5.5093883366279774,1.0542837014957236,4.30406509320417,0.8031189202104505,2601,1.6094379124341003,2.23606797749979,2.1972245773362196,2.302585092994046,27,-1
Thesis,448,1T,734636,F,LFD,SIX,12,9.438551063623411,5.420534999272286,0.6819738800741797,4.330733340286331,NA,2500,1.0986122886681098,2.8284271247461903,1.9459101490553132,2.0794415416798357,32,-1
Thesis,343,1T,734577,F,LFD,SIX,9,9.448057215139853,5.5134287461649825,0.9629579577276376,4.465908118654584,NA,1521,2.302585092994046,3.4641016151377544,2.995732273553991,3.044522437723423,26,-1
Thesis,405,1T,734587,F,LFD,SIX,13,9.427143867544194,5.476463551931511,1.1584127121028231,4.406719247264253,NA,576,2.4849066497880004,5,1.6094379124341003,1.791759469228055,38,-1
Thesis,405,1T,734586,F,LFD,SIX,13,9.260653185849772,5.3706380281276624,0.8365595021863139,4.204692619390966,NA,625,2.6390573296152584,4.69041575982343,2.3978952727983707,2.4849066497880004,24,-1
Thesis,448,1T,734635,F,LFD,SIX,12,9.519918467277183,5.424950017481403,1.2960597743479658,4.406719247264253,NA,1600,1.9459101490553132,3.7416573867739413,2.3978952727983707,2.4849066497880004,21,-1
Thesis,408,2T,734674,F,LFD,SIX,13,9.33419383414318,5.4510384535657,0.7102416141056862,4.276666119016055,NA,1849,1.6094379124341003,3.605551275463989,1.791759469228055,1.9459101490553132,34,-1
Thesis,447,2T,734734,F,LFD,SIX,15,9.301870689821774,5.25227342804663,0.8622235107594349,4.219507705176107,NA,1764,1.3862943611198906,3.872983346207417,1.6094379124341003,1.791759469228055,31,-1
Thesis,330,2T,734726,F,LFD,SIX,8,9.368710707947624,5.267858159063328,0.5454523010545373,4.2626798770413155,NA,484,1.0986122886681098,6,2.3978952727983707,2.4849066497880004,29,-1
Thesis,401,2T,734784,F,LFD,SIX,11,9.339480888799274,5.521460917862246,0.6749095931696736,4.1588830833596715,NA,2025,1.3862943611198906,3.4641016151377544,1.9459101490553132,2.0794415416798357,35,-1
Thesis,331,2T,734714,F,LFD,SIX,7,9.359708203627006,5.365976015021851,1.023902233401285,4.248495242049359,NA,2916,1.3862943611198906,1.7320508075688772,1.791759469228055,1.9459101490553132,29,-1
Thesis,335,2T,734763,F,LFD,SIX,7,9.381432446818588,5.384495062789089,0.6040389273885445,4.23410650459726,NA,3136,1.3862943611198906,1,2.833213344056216,2.8903717578961645,25,-1
