Study,Parent_Pair,Cohort,Access_ID,Sex,Diet,Diet_Start_Week,Litter_Size,Total_AUC,HarvWeight,RetroFat_norm,FastGluc,FastIns,SWIM,CLIMB,FLOAT,REST_EPISODE_COUNT_5,MOVEMENT_EPISODE_COUNT_5,VERTICAL_EPISODE_COUNT_5,z
Ozzy,13,10O,725722,M,HFD,SIX,NA,9.746892220313054,5.831882477283517,1.2107147322693972,0.01098901098901099,0.632335041163188,2809,0,2.0794415416798357,NA,NA,NA,1
Ozzy,15,10O,725731,M,HFD,SIX,4,9.697446909121581,5.918893854273146,1.3078227458008445,0.012345679012345678,0.3746621989531192,2304,0,2.5649493574615367,NA,NA,NA,1
Ozzy,15,10O,725732,M,LFD,SIX,4,9.654609439741286,5.703782474656201,1.0329583182704825,0.011627906976744186,0.30047489425053325,3249,0,1.3862943611198906,NA,NA,NA,-1
Pilot,201,1P,728751,M,HFD,FOUR,11,NA,6.021023349349527,1.366091653802371,NA,NA,1521,2.995732273553991,1.0986122886681098,2.449489742783178,2.6457513110645907,29,1
Pilot,201,1P,728752,M,LFD,FOUR,11,NA,6.100318952020064,1.6992786164338898,NA,NA,2401,2.0794415416798357,1.3862943611198906,2.449489742783178,2.6457513110645907,31,-1
Pilot,201,1P,728753,M,HFD,FOUR,11,NA,5.953243334287785,1.4036429994545037,NA,NA,2304,2.4849066497880004,0.6931471805599453,4.123105625617661,4.123105625617661,13,1
Pilot,201,1P,728754,M,LFD,FOUR,11,NA,5.8998973535824915,1.0543120297715298,NA,NA,2500,1.6094379124341003,1.9459101490553132,2.8284271247461903,2.8284271247461903,25,-1
Pilot,209,1P,728791,M,HFD,FOUR,7,NA,6.142037405587356,1.55814461804655,NA,NA,1849,1.6094379124341003,2.6390573296152584,3.4641016151377544,3.605551275463989,23,1
Pilot,209,1P,728792,M,LFD,FOUR,7,NA,5.84354441703136,1.501852701754163,NA,NA,1764,2.0794415416798357,2.4849066497880004,3.872983346207417,4,27,-1
Pilot,45,1P,728811,M,HFD,FOUR,9,NA,5.924255797414532,1.4586150226995167,NA,NA,784,0,3.4965075614664802,3.3166247903554,3.4641016151377544,23,1
Pilot,45,1P,728812,M,LFD,FOUR,9,NA,5.605802066295998,1.199964782928397,NA,NA,225,1.0986122886681098,3.7612001156935624,3,3.1622776601683795,27,-1
Pilot,45,1P,728813,M,HFD,FOUR,9,NA,5.942799375126701,1.6956156086751528,NA,NA,100,0,3.9318256327243257,4.242640687119285,4.358898943540674,16,1
Pilot,45,1P,728814,M,LFD,FOUR,9,NA,5.860786223465865,0.9202827531436925,NA,NA,2916,0.6931471805599453,1.791759469228055,2.6457513110645907,2.8284271247461903,30,-1
Pilot,225,1P,728831,M,HFD,FOUR,11,NA,6.013715156042802,1.5107219394949425,NA,NA,2601,0.6931471805599453,2.1972245773362196,2.8284271247461903,3,38,1
